Date,Time,Temp
1/21/2024,12:27:12,19.57
Date,Time,Temp
1/21/2024,12:27:12,19.57
1/21/2024,12:28:01,
1/21/2024,12:28:41,19.44
1/21/2024,12:29:09,19.2
1/21/2024,12:29:57,19.35
1/21/2024,12:30:46,19.32
1/21/2024,12:31:23,19.05
1/21/2024,12:31:46,19.32
1/21/2024,12:32:06,
Date,Time,Temp
1/21/2024,12:33:55,
1/21/2024,12:34:16,17.69
1/21/2024,12:36:00,19.05
1/21/2024,12:36:00,18.14
1/21/2024,12:37:29,18.46
1/21/2024,12:41:11,17.96
1/21/2024,12:41:20,18.65
1/21/2024,12:41:59,18.14
1/21/2024,12:42:08,19.03
1/21/2024,12:42:30,17.72
1/21/2024,12:42:43,18.8
1/21/2024,12:43:18,18.46
1/21/2024,12:43:22,19.99
1/21/2024,12:44:07,18.78
1/21/2024,12:44:10,19.67
1/21/2024,12:44:55,19.37
1/21/2024,12:44:58,20.14
1/21/2024,12:45:43,19.77
1/21/2024,12:45:47,19.62
1/21/2024,12:46:31,19.74
1/21/2024,12:46:35,21.25
1/21/2024,12:46:57,50.87
1/21/2024,12:47:23,49.3
1/21/2024,12:47:37,39.04
1/21/2024,12:47:57,33.77
1/21/2024,12:48:25,32.51
1/21/2024,12:48:45,29.65
1/21/2024,12:49:14,27.29
1/21/2024,12:49:33,26.25
1/21/2024,12:50:02,24.04
1/21/2024,12:50:21,24.06
1/21/2024,12:50:50,22.14
1/21/2024,12:51:10,23.39
1/21/2024,12:51:38,20.53
1/21/2024,12:51:58,23.31
1/21/2024,12:52:26,19.64
1/21/2024,12:52:46,22.74
1/21/2024,12:53:15,19.64
1/21/2024,12:53:34,23.29
1/21/2024,12:54:03,18.68
1/21/2024,12:54:22,23.04
1/21/2024,12:54:51,18.53
1/21/2024,12:55:10,22.69
1/21/2024,12:55:16,18.7
1/21/2024,12:55:58,22.84
1/21/2024,12:56:04,18.41
1/21/2024,12:56:46,22.37
1/21/2024,12:56:52,18.41
1/21/2024,12:57:35,22.12
1/21/2024,12:57:41,18.73
1/21/2024,12:58:23,22.71
1/21/2024,12:58:29,21.25
1/21/2024,12:59:03,21.92
1/21/2024,12:59:11,22.52
Date,Time,Temp
1/21/2024,12:59:11,21.94
Date,Time,Temp
,,
,,21.73
,,22.01
,,21.83
,,21.66
,,21.72
,,21.72
1/21/2024,13:23:14,21.88
1/21/2024,13:24:02,21.76
1/21/2024,13:24:50,19.07
1/21/2024,13:25:22,20.41
1/21/2024,13:26:07,20.53
1/21/2024,13:26:55,19.96
1/21/2024,13:27:18,19.96
1/21/2024,13:27:42,19.35
1/21/2024,13:28:02,32.01
1/21/2024,13:28:32,27.52
1/21/2024,13:28:53,138.48
1/21/2024,13:29:21,75.4
1/21/2024,13:29:41,57.62
,,49.96
,,21.94
,,21.35
,,20.83
,,20.11
